# Pion Beam-Spin Asymmetry (KIN-1-FINAL)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
113  5  4  -115.20  -122.40  -108.00  17.50  15.00  20.00  12.500000  3.622840  15.000000  3.872980  -0.090909  0.192475 
114  6  4  -100.80  -108.00  -93.60  17.50  15.00  20.00  89.500000  9.559030  88.750000  9.503290  0.004208  0.075618 
115  7  4  -86.40  -93.60  -79.20  17.50  15.00  20.00  335.750000  18.467900  376.500000  19.516000  -0.057213  0.037667 
116  8  4  -72.00  -79.20  -64.80  17.50  15.00  20.00  656.750000  25.900000  702.500000  26.774500  -0.033658  0.027391 
117  9  4  -57.60  -64.80  -50.40  17.50  15.00  20.00  904.000000  30.561400  1039.750000  32.769100  -0.069839  0.022997 
118  10  4  -43.20  -50.40  -36.00  17.50  15.00  20.00  1096.750000  33.775900  1124.750000  34.242700  -0.012604  0.021649 
119  11  4  -28.80  -36.00  -21.60  17.50  15.00  20.00  1039.250000  33.074700  1136.000000  34.474600  -0.044478  0.021944 
120  12  4  -14.40  -21.60  -7.20  17.50  15.00  20.00  991.500000  32.513500  957.750000  31.985300  0.017314  0.023395 
121  13  4  0.00  -7.20  7.20  17.50  15.00  20.00  1005.750000  32.593100  1007.750000  32.700300  -0.000993  0.022930 
122  14  4  14.40  7.20  21.60  17.50  15.00  20.00  1055.000000  33.485100  1031.250000  33.067200  0.011384  0.022556 
