# Kaon Beam-Spin Asymmetry (KIN-1)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
124  16  4  43.20  36.00  50.40  17.50  15.00  20.00  219.000000  16.665800  214.000000  16.703300  0.011547  0.054498 
125  17  4  57.60  50.40  64.80  17.50  15.00  20.00  175.000000  14.491400  160.500000  14.137700  0.043219  0.060336 
126  18  4  72.00  64.80  79.20  17.50  15.00  20.00  91.750000  10.347100  92.500000  10.458300  -0.004071  0.079844 
127  19  4  86.40  79.20  93.60  17.50  15.00  20.00  55.750000  7.733850  67.750000  8.474230  -0.097166  0.092512 
128  20  4  100.80  93.60  108.00  17.50  15.00  20.00  20.750000  4.723610  18.250000  4.520790  0.064103  0.167523 
129  21  4  115.20  108.00  122.40  17.50  15.00  20.00  13.750000  3.750000  5.750000  2.462210  0.410256  0.211118 
130  22  4  129.60  122.40  136.80  17.50  15.00  20.00  2.000000  1.414210  4.500000  2.263850  -0.384615  0.369716 
131  23  4  144.00  136.80  151.20  17.50  15.00  20.00  0.500000  1.060660  0.500000  1.060660  0.000000  1.500000 
132  24  4  158.40  151.20  165.60  17.50  15.00  20.00  0.500000  1.060660  0.000000  0.000000  1.000000  0.000000 
133  25  4  172.80  165.60  180.00  17.50  15.00  20.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
136  1  5  -172.80  -180.00  -165.60  22.50  20.00  25.00  0.000000  0.000000  -0.250000  0.250000  -1.000000  0.000000 
137  2  5  -158.40  -165.60  -151.20  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
138  3  5  -144.00  -151.20  -136.80  22.50  20.00  25.00  0.000000  0.000000  -0.250000  0.250000  -1.000000  0.000000 
139  4  5  -129.60  -136.80  -122.40  22.50  20.00  25.00  1.000000  1.000000  -0.250000  0.250000  1.666667  1.257079 
140  5  5  -115.20  -122.40  -108.00  22.50  20.00  25.00  -0.250000  0.250000  0.750000  1.030780  -2.000000  2.549516 
141  6  5  -100.80  -108.00  -93.60  22.50  20.00  25.00  9.250000  3.191790  9.500000  3.181980  -0.013333  0.240401 
142  7  5  -86.40  -93.60  -79.20  22.50  20.00  25.00  38.000000  6.461420  47.500000  7.202430  -0.111111  0.112506 
143  8  5  -72.00  -79.20  -64.80  22.50  20.00  25.00  81.750000  9.978100  84.750000  10.371200  -0.018018  0.086391 
144  9  5  -57.60  -64.80  -50.40  22.50  20.00  25.00  144.000000  13.838400  186.500000  15.194600  -0.128593  0.061952 
145  10  5  -43.20  -50.40  -36.00  22.50  20.00  25.00  188.750000  15.860700  164.500000  15.004200  0.068648  0.061717 
146  11  5  -28.80  -36.00  -21.60  22.50  20.00  25.00  156.750000  14.476300  136.500000  13.541600  0.069054  0.067446 
147  12  5  -14.40  -21.60  -7.20  22.50  20.00  25.00  88.500000  11.028400  82.750000  10.865700  0.033577  0.090411 
